BTC,"the original. According to the creator (or creators?) Satoshi Nakamoto, it was created to allow “online payments to be sent directly from one party to another without going through a financial institution.”"
ETH,"Ethereum is the wonder child of crypto, acts as an infrastructure for most decentralized applications. Introduces smart contracts, which are like programs with specific procedures that, once deployed, no one can change."
USDT,"a centralized stablecoin tied to the dollar (so Elon, please don’t try to pump it)"
DOT,"open-source protocol aimed at connecting all different blockchains and allowing them to work together, allowing transfers of any data."
ADA,"Another blockchain, trying to improve scalability, interoperability and sustainability of cryptocurrencies. Those who hold the cryptocurrency have the right to vote on any proposed changes in the software."
XRP,"centralized coin, most people don’t see a future for it after SEC went after it."
BNB,"coin associated with the Binance exchange, so valuable since it is the most popular centralized exchange."
LTC,"Bitcoin’s cousin, with faster transactions and lower fees."
LINK,"the main idea is to LINK smart contracts with real-world data, verifying that this data is correct."
DOGE,"Wow, such high ranking! (Okay, now please let’s get Stellar back in the top 10)."
BCH,"fork of Bitcoin (so a copy with some differences), which tries to lower transaction fees and increase scalability but has been surpassed technology-wise by many other coins aiming to do just the same."
XLM,"talking about currencies, XLM is one of the coins aiming to do just that, with fast processing times and low fees. It has also already become a stablecoin! (I’m kidding)."
USDC,"another centralized stablecoin tied to the dollar, like USDT."
AAVE,"take a bank and make it decentralized, where the liquidity comes from the users and they earn fees from borrows. This is Aave."
UNI,"Another DeFi like Aave, but this time it’s an exchange like Binance, just decentralized."
WBTC,It’s just bitcoin wrapped in ethereum to be used in DeFi applications.
BSV,Bitcoin Scam Variant
EOS,"another blockchain, aimed at being highly scalable for commercial use. It aims to make it as straightforward as possible for programmers to embrace the blockchain technology."
EGLD,"Blockchain architecture focused on scalability and high throughput, achieving this by partitioning the chain state and an improved Proof of Stake mechanism"
TRX,"have you seen Silicon Valley, when they try to create a decentralized internet? Yeah, Tron’s founder is Richard Hendricks. It is also one of the most popular blockchain to build decentralized applications on."
ATOM,several independent blockchains trying to create an “internet of blockchains”.
XEM,"instead of controlling just money, you can control stock ownership, contracts, medical records, and stuff like that"
XMR,if you need drugs
THETA,decentralized video delivery network (peer-to-peer streaming). The token performs various governance tasks within the network.
XTZ,"another blockchain for smart contracts, but more eco-friendly and overall trying to encompass different advancements introduced by different blockchains in a single protocol."
LUNA,"aiming to support a global payment network, it tries to create a decentralized stablecoin with an elastic money supply, enabled by stable mining incentives. Its related stablecoin is TerraUSD"
MKR,"MakerDAO is the organization behind DAI, one of the most famous stablecoins. MKR is a token that allows you to receive dividends and vote in governing the system."
SNX,protocol on the ethereum blockchain aiming to allow trading of derivatives (shorting or going long on a certain asset).
AVAX,"open-source platform aiming to become a global asset exchange, where anyone can launch any form of asset and control it in a decentralized way with smart contracts. It claims to be lightweight, with high throughput and scalable."
VET,"a blockchain focusing on business use-cases more than on technology, bringing this technology to the masses without them even knowing they’re using it."
COMP,It’s the Bitcoin of DeFi. It was the first-mover and without him many other projects wouldn’t be around today.
MIOTA,"open-source decentralized cryptocurrency engineered for the Internet of Things, with zero transaction fees and high scalability since it uses a blockless blockchain where users and verifiers of transactions are the same (it may sound wrong but it’s actually a genius concept, impossible to sum up in a single sentence)."
NEO,"Blockchain application platform and cryptocurrency for digitized identities and assets, aiming to create a smart economy. It was one of the coins that suffered most after the 2018 bull run."
SOL,another blockchain aimed at providing super-high-speed transactions. It claims to be able to process 50k transactions per second and be perfect to deploy scalable crypto applications.
DAI,"the decentralized stablecoin of MakerDAO, tied to the dollar."
HT,"it’s the official token of Huobi (a centralized exchange), providing advantages similar to BNB (Binance’s), for example fees discounts."
SUSHI,"a clone of UniSwap (so a decentralized exchange), where there’s a token (SUSHI) given as an additional reward for liquidity providers and farmers."
BUSD,"Stablecoin issued by Binance, tied to USD."
FTT,"It’s a token related to FTX, a platform allowing you to trade leveraged tokens based on the Ethereum blockchain. The token allows for lower fees and socialized gains."
CRO,"the token of Crypto.com public blockchain, that tries to enable transaction worldwide between people and businesses."
FIL,"a decentralized storage system, trying to decentralize cloud storage services."
UMA,it builds open-source infrastructure in order to create synthetic tokens on the Ethereum blockchain
LEO,"another token, this time related to the iFinex ecosystem which allows you to save money on trading fees in Bitfinex."
BTT,"BitTorrent is a famous peer-to-peer file sharing platform. It is trying to get more decentralized by introducing its token, which grants you some benefits such as increased download speeds."
CEL,"Celsius is one of the first banking platforms for cryptocurrency users, where you can earn interest, borrow cash and make payments/transfers. The CEL token grants you some benefits such as increased payouts."
ALGO,"Algorand is a blockchain network aiming to improve scalability and security. ALGO is the native cryptocurrency of the network, used for a borderless economy and to secure stability in the blockchain."
DASH,"It is a fork of Litecoin launched in 2014, focused on improving the transaction times of the blockchain and become a cheap, decentralized payments network."
DCR,"it is a blockchain-based cryptocurrency aimed at facilitating open governance and community interaction. It achieves this by avoiding monopoly over voting status in the project itself, giving to all DCR holders the same amount of decision-making power."
GRT,"Trying to become the decentralized Google, it is an indexing protocol for querying networks like Ethereum. It allows everyone to publish open APIs that applications can query to retrieve blockchain data."
YFI,"part of the DeFi ecosystem, it is an aggregator that tries to simplify the DeFi space for investors, automatic the process of maximizing the profits from yield farming."
